# Generated by testdata/harfbuzz/shape.py. DO NOT EDIT.
#
# What HarfBuzz produces for each line of corpus.txt, in order: the
# glyph index and advance of each glyph, and its offset where that is
# not zero. Advances and offsets are in font units.
# font-sha256 0bcb88de05a855aec38471d6317e860fa2a40d1c3ca93f2736b7c34ad9288d90
# harfbuzz 14.5.0
# uharfbuzz 0.56.2
# language und-x-hbscdflt
# cases 1110
19,977
29,976 112,391 26,1289
29,976 112,391 27,938
29,976 112,391 28,1258
29,976 112,391 29,976
29,976 112,391 30,1043
29,976 112,391 31,1479
29,976 112,391 32,991
29,976 112,391 33,991
29,976 112,391 34,1159
30,1043 112,391 19,977
30,1043 112,391 20,977
30,1043 112,391 21,781
30,1043 112,391 22,781
30,1043 112,391 23,967
30,1043 112,391 24,1221
30,1043 112,391 25,1221
30,1043 112,391 26,1289
30,1043 112,391 27,938
30,1043 112,391 28,1258
30,1043 112,391 29,976
30,1043 112,391 30,1043
30,1043 112,391 31,1479
30,1043 112,391 32,991
30,1043 112,391 33,991
30,1043 112,391 34,1159
31,1479 112,391 19,977
31,1479 112,391 20,977
31,1479 112,391 21,781
31,1479 112,391 22,781
31,1479 112,391 23,967
31,1479 112,391 24,1221
31,1479 112,391 25,1221
31,1479 112,391 26,1289
31,1479 112,391 27,938
31,1479 112,391 28,1258
31,1479 112,391 29,976
31,1479 112,391 30,1043
31,1479 112,391 31,1479
31,1479 112,391 32,991
31,1479 112,391 33,991
31,1479 112,391 34,1159
32,991 112,391 19,977
32,991 112,391 20,977
32,991 112,391 21,781
32,991 112,391 22,781
32,991 112,391 23,967
32,991 112,391 24,1221
32,991 112,391 25,1221
32,991 112,391 26,1289
32,991 112,391 27,938
32,991 112,391 28,1258
32,991 112,391 29,976
32,991 112,391 30,1043
32,991 112,391 31,1479
32,991 112,391 32,991
32,991 112,391 33,991
32,991 112,391 34,1159
33,991 112,391 19,977
33,991 112,391 20,977
33,991 112,391 21,781
33,991 112,391 22,781
33,991 112,391 23,967
33,991 112,391 24,1221
33,991 112,391 25,1221
33,991 112,391 26,1289
33,991 112,391 27,938
33,991 112,391 28,1258
33,991 112,391 29,976
33,991 112,391 30,1043
33,991 112,391 31,1479
33,991 112,391 32,991
33,991 112,391 33,991
33,991 112,391 34,1159
34,1159 112,391 19,977
34,1159 112,391 20,977
34,1159 112,391 21,781
34,1159 112,391 22,781
34,1159 112,391 23,967
34,1159 112,391 24,1221
34,1159 112,391 25,1221
34,1159 112,391 26,1289
34,1159 112,391 27,938
34,1159 112,391 28,1258
34,1159 112,391 29,976
34,1159 112,391 30,1043
34,1159 112,391 31,1479
34,1159 112,391 32,991
34,1159 112,391 33,991
34,1159 112,391 34,1159
19,977 112,391 19,977 78,413
19,977 112,391 20,977 78,413
19,977 112,391 21,781 78,413
19,977 112,391 22,781 78,413
19,977 112,391 23,967 78,413
19,977 112,391 24,1221 78,413
20,977 112,391 19,977 78,413
20,977 112,391 20,977 78,413
20,977 112,391 21,781 78,413
20,977 112,391 22,781 78,413
20,977 112,391 23,967 78,413
20,977 112,391 24,1221 78,413
21,781 112,391 19,977 78,413
21,781 112,391 20,977 78,413
21,781 112,391 21,781 78,413
21,781 112,391 22,781 78,413
21,781 112,391 23,967 78,413
21,781 112,391 24,1221 78,413
22,781 112,391 19,977 78,413
22,781 112,391 20,977 78,413
22,781 112,391 21,781 78,413
22,781 112,391 22,781 78,413
22,781 112,391 23,967 78,413
22,781 112,391 24,1221 78,413
23,967 112,391 19,977 78,413
23,967 112,391 20,977 78,413
23,967 112,391 21,781 78,413
23,967 112,391 22,781 78,413
23,967 112,391 23,967 78,413
23,967 112,391 24,1221 78,413
24,1221 112,391 19,977 78,413
24,1221 112,391 20,977 78,413
24,1221 112,391 21,781 78,413
24,1221 112,391 22,781 78,413
24,1221 112,391 23,967 78,413
24,1221 112,391 24,1221 78,413
25,1221 112,391 19,977 78,413
25,1221 112,391 20,977 78,413
25,1221 112,391 21,781 78,413
25,1221 112,391 22,781 78,413
25,1221 112,391 23,967 78,413
25,1221 112,391 24,1221 78,413
26,1289 112,391 19,977 78,413
26,1289 112,391 20,977 78,413
26,1289 112,391 21,781 78,413
26,1289 112,391 22,781 78,413
26,1289 112,391 23,967 78,413
26,1289 112,391 24,1221 78,413
27,938 112,391 19,977 78,413
27,938 112,391 20,977 78,413
27,938 112,391 21,781 78,413
27,938 112,391 22,781 78,413
27,938 112,391 23,967 78,413
27,938 112,391 24,1221 78,413
28,1258 112,391 19,977 78,413
28,1258 112,391 20,977 78,413
28,1258 112,391 21,781 78,413
28,1258 112,391 22,781 78,413
28,1258 112,391 23,967 78,413
28,1258 112,391 24,1221 78,413
61,1195 24,1221 112,391 60,1088 54,915
32,991 57,967
60,1088 88,0 27,938 94,0,12,10 10,0,-250,10
48,963 109,238 50,1207 88,0
13,1338 78,413 78,413
13,1338 78,413 79,439
13,1338 78,413 80,0,214,10
13,1338 78,413 84,0,265,10
13,1338 78,413 88,0
13,1338 78,413 90,0
13,1338 78,413 92,677
13,1338 78,413 93,677
13,1338 78,413 94,0,217,10
13,1338 78,413 98,0
13,1338 78,413 100,376
13,1338 78,413 109,238
13,1338 78,413 112,391
13,1338 79,439 78,413
13,1338 79,439 79,439
13,1338 79,439 80,0,187,10
13,1338 79,439 84,0,238,10
13,1338 79,439 88,0
13,1338 79,439 90,0
13,1338 79,439 92,677
13,1338 79,439 93,677
13,1338 79,439 94,0,190,10
13,1338 79,439 98,0
13,1338 79,439 100,376
13,1338 79,439 109,238
